═════════════════════════════════════════════════════════════════
PHASE 4: xArm5 REACHABILITY MAP
═════════════════════════════════════════════════════════════════
Date: 2026-04-12
Solver: TRAC-IK (solve_type: Distance)
Orientation: tool-down (roll=180, pitch=0, yaw=0)
Collision checking: enabled (mounting table in scene)
Grid: X=[100,500] Y=[-400,400] Z=[0,500] step=50mm
Total: 1683 poses, 1638 reachable (97.3%)

REACHABLE ENVELOPE:
  X: 100 to 500 mm
  Y: -400 to 400 mm
  Z: 0 to 500 mm

PER Z-LAYER:
  z=   0mm:  145 pts, x=[100,500] y=[-400,400]
  z=  50mm:  145 pts, x=[100,500] y=[-400,400]
  z= 100mm:  145 pts, x=[100,500] y=[-400,400]
  z= 150mm:  145 pts, x=[100,500] y=[-400,400]
  z= 200mm:  145 pts, x=[100,500] y=[-400,400]
  z= 250mm:  150 pts, x=[100,500] y=[-400,400]
  z= 300mm:  153 pts, x=[100,500] y=[-400,400]
  z= 350mm:  153 pts, x=[100,500] y=[-400,400]
  z= 400mm:  153 pts, x=[100,500] y=[-400,400]
  z= 450mm:  153 pts, x=[100,500] y=[-400,400]
  z= 500mm:  151 pts, x=[100,500] y=[-400,400]

   200,  200,  450, YES
   200,  200,  500, YES
   200,  250,    0, YES
   200,  250,   50, YES
   200,  250,  100, YES
   200,  250,  150, YES
   200,  250,  200, YES
   200,  250,  250, YES
   200,  250,  300, YES
   200,  250,  350, YES
   200,  250,  400, YES
   200,  250,  450, YES
   200,  250,  500, YES
   200,  300,    0, YES
   200,  300,   50, YES
   200,  300,  100, YES
   200,  300,  150, YES
   200,  300,  200, YES
   200,  300,  250, YES
   200,  300,  300, YES
   200,  300,  350, YES
   200,  300,  400, YES
   200,  300,  450, YES
   200,  300,  500, YES
   200,  350,    0, YES
   200,  350,   50, YES
   200,  350,  100, YES
   200,  350,  150, YES
   200,  350,  200, YES
   200,  350,  250, YES
   200,  350,  300, YES
   200,  350,  350, YES
   200,  350,  400, YES
   200,  350,  450, YES
   200,  350,  500, YES
   200,  400,    0, YES
   200,  400,   50, YES
   200,  400,  100, YES
   200,  400,  150, YES
   200,  400,  200, YES
   200,  400,  250, YES
   200,  400,  300, YES
   200,  400,  350, YES
   200,  400,  400, YES
   200,  400,  450, YES
   200,  400,  500, YES
   250, -400,    0, YES
   250, -400,   50, YES
   250, -400,  100, YES
   250, -400,  150, YES
   250, -400,  200, YES
   250, -400,  250, YES
   250, -400,  300, YES
   250, -400,  350, YES
   250, -400,  400, YES
   250, -400,  450, YES
   250, -400,  500, YES
   250, -350,    0, YES
   250, -350,   50, YES
   250, -350,  100, YES
   250, -350,  150, YES
   250, -350,  200, YES
   250, -350,  250, YES
   250, -350,  300, YES
   250, -350,  350, YES
   250, -350,  400, YES
   250, -350,  450, YES
   250, -350,  500, YES
   250, -300,    0, YES
   250, -300,   50, YES
   250, -300,  100, YES
   250, -300,  150, YES
   250, -300,  200, YES
   250, -300,  250, YES
   250, -300,  300, YES
   250, -300,  350, YES
   250, -300,  400, YES
   250, -300,  450, YES
   250, -300,  500, YES
   250, -250,    0, YES
   250, -250,   50, YES
   250, -250,  100, YES
